"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 08:42:53 AM",72,34,5
"2","2016-04-27 08:42:53 AM",79,16,16
"3","2016-04-27 08:42:53 AM",82,22,3
"4","2016-04-27 08:42:53 AM",83,48,13
"5","2016-04-27 08:42:53 AM",116,34,4
"6","2016-04-27 08:42:53 AM",119,8,11
"7","2016-04-27 08:42:53 AM",120,18,0
"8","2016-04-27 08:42:53 AM",127,31,0
"9","2016-04-27 08:42:53 AM",128,14,16
"10","2016-04-27 08:42:53 AM",137,3,43
"11","2016-04-27 08:42:53 AM",143,11,13
"12","2016-04-27 08:42:53 AM",144,16,3
"13","2016-04-27 08:42:53 AM",146,37,1
"14","2016-04-27 08:42:53 AM",147,18,14
"15","2016-04-27 08:42:53 AM",150,27,0
"16","2016-04-27 08:42:53 AM",151,30,2
"17","2016-04-27 08:42:53 AM",152,24,5
"18","2016-04-27 08:42:53 AM",153,53,2
"19","2016-04-27 08:42:53 AM",157,19,4
"20","2016-04-27 08:42:53 AM",160,26,0
"21","2016-04-27 08:42:53 AM",161,33,2
"22","2016-04-27 08:42:53 AM",164,38,7
"23","2016-04-27 08:42:53 AM",167,41,3
"24","2016-04-27 08:42:53 AM",168,31,16
"25","2016-04-27 08:42:53 AM",173,14,35
"26","2016-04-27 08:42:53 AM",174,0,29
"27","2016-04-27 08:42:53 AM",195,28,17
"28","2016-04-27 08:42:53 AM",212,13,12
"29","2016-04-27 08:42:53 AM",216,18,5
"30","2016-04-27 08:42:53 AM",217,18,21
"31","2016-04-27 08:42:53 AM",223,19,13
"32","2016-04-27 08:42:53 AM",224,21,9
"33","2016-04-27 08:42:53 AM",225,25,12
"34","2016-04-27 08:42:53 AM",228,14,40
"35","2016-04-27 08:42:53 AM",229,9,13
"36","2016-04-27 08:42:53 AM",232,21,2
"37","2016-04-27 08:42:53 AM",233,35,3
"38","2016-04-27 08:42:53 AM",236,16,23
"39","2016-04-27 08:42:53 AM",237,25,14
"40","2016-04-27 08:42:53 AM",238,25,3
"41","2016-04-27 08:42:53 AM",239,9,21
"42","2016-04-27 08:42:53 AM",241,17,6
"43","2016-04-27 08:42:53 AM",242,9,12
"44","2016-04-27 08:42:53 AM",243,20,9
"45","2016-04-27 08:42:53 AM",244,16,13
"46","2016-04-27 08:42:53 AM",245,17,6
"47","2016-04-27 08:42:53 AM",247,20,0
"48","2016-04-27 08:42:53 AM",248,19,4
"49","2016-04-27 08:42:53 AM",249,15,11
"50","2016-04-27 08:42:53 AM",250,28,12
"51","2016-04-27 08:42:53 AM",251,26,1
"52","2016-04-27 08:42:53 AM",252,22,11
"53","2016-04-27 08:42:53 AM",253,49,5
"54","2016-04-27 08:42:53 AM",254,23,8
"55","2016-04-27 08:42:53 AM",257,25,14
"56","2016-04-27 08:42:53 AM",258,23,0
"57","2016-04-27 08:42:53 AM",259,10,29
"58","2016-04-27 08:42:53 AM",260,16,19
"59","2016-04-27 08:42:53 AM",261,25,2
"60","2016-04-27 08:42:53 AM",262,24,0
"61","2016-04-27 08:42:53 AM",263,31,0
"62","2016-04-27 08:42:53 AM",264,10,13
"63","2016-04-27 08:42:53 AM",265,17,16
"64","2016-04-27 08:42:53 AM",266,14,10
"65","2016-04-27 08:42:53 AM",267,57,0
"66","2016-04-27 08:42:53 AM",268,0,0
"67","2016-04-27 08:42:53 AM",270,13,10
"68","2016-04-27 08:42:53 AM",274,19,12
"69","2016-04-27 08:42:53 AM",275,13,6
"70","2016-04-27 08:42:53 AM",276,19,6
"71","2016-04-27 08:42:53 AM",278,8,11
"72","2016-04-27 08:42:53 AM",279,25,11
"73","2016-04-27 08:42:53 AM",280,21,10
"74","2016-04-27 08:42:53 AM",281,18,36
"75","2016-04-27 08:42:53 AM",282,19,8
"76","2016-04-27 08:42:53 AM",284,11,31
"77","2016-04-27 08:42:53 AM",285,14,32
"78","2016-04-27 08:42:53 AM",289,16,3
"79","2016-04-27 08:42:53 AM",291,17,0
"80","2016-04-27 08:42:53 AM",293,21,32
"81","2016-04-27 08:42:53 AM",295,17,4
"82","2016-04-27 08:42:53 AM",296,29,3
"83","2016-04-27 08:42:53 AM",297,19,8
"84","2016-04-27 08:42:53 AM",298,15,20
"85","2016-04-27 08:42:53 AM",300,34,21
