"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 07:37:44 AM",72,26,13
"2","2016-04-27 07:37:44 AM",79,26,6
"3","2016-04-27 07:37:44 AM",82,20,5
"4","2016-04-27 07:37:44 AM",83,50,11
"5","2016-04-27 07:37:44 AM",116,36,2
"6","2016-04-27 07:37:44 AM",119,7,12
"7","2016-04-27 07:37:44 AM",120,14,4
"8","2016-04-27 07:37:44 AM",127,31,0
"9","2016-04-27 07:37:44 AM",128,26,4
"10","2016-04-27 07:37:44 AM",137,37,9
"11","2016-04-27 07:37:44 AM",143,6,18
"12","2016-04-27 07:37:44 AM",144,15,4
"13","2016-04-27 07:37:44 AM",146,37,1
"14","2016-04-27 07:37:44 AM",147,28,4
"15","2016-04-27 07:37:44 AM",150,9,19
"16","2016-04-27 07:37:44 AM",151,26,6
"17","2016-04-27 07:37:44 AM",152,27,2
"18","2016-04-27 07:37:44 AM",153,48,7
"19","2016-04-27 07:37:44 AM",157,14,9
"20","2016-04-27 07:37:44 AM",160,26,0
"21","2016-04-27 07:37:44 AM",161,30,5
"22","2016-04-27 07:37:44 AM",164,38,7
"23","2016-04-27 07:37:44 AM",167,40,4
"24","2016-04-27 07:37:44 AM",168,41,6
"25","2016-04-27 07:37:44 AM",173,28,21
"26","2016-04-27 07:37:44 AM",174,1,29
"27","2016-04-27 07:37:44 AM",195,33,12
"28","2016-04-27 07:37:44 AM",212,15,10
"29","2016-04-27 07:37:44 AM",216,19,4
"30","2016-04-27 07:37:44 AM",217,19,20
"31","2016-04-27 07:37:44 AM",223,12,20
"32","2016-04-27 07:37:44 AM",224,26,4
"33","2016-04-27 07:37:44 AM",225,31,6
"34","2016-04-27 07:37:44 AM",228,38,17
"35","2016-04-27 07:37:44 AM",229,16,6
"36","2016-04-27 07:37:44 AM",232,21,2
"37","2016-04-27 07:37:44 AM",233,35,3
"38","2016-04-27 07:37:44 AM",236,6,33
"39","2016-04-27 07:37:44 AM",237,8,31
"40","2016-04-27 07:37:44 AM",238,17,11
"41","2016-04-27 07:37:44 AM",239,22,8
"42","2016-04-27 07:37:44 AM",241,15,8
"43","2016-04-27 07:37:44 AM",242,8,13
"44","2016-04-27 07:37:44 AM",243,25,5
"45","2016-04-27 07:37:44 AM",244,15,14
"46","2016-04-27 07:37:44 AM",245,15,8
"47","2016-04-27 07:37:44 AM",247,10,10
"48","2016-04-27 07:37:44 AM",248,19,4
"49","2016-04-27 07:37:44 AM",249,21,5
"50","2016-04-27 07:37:44 AM",250,30,10
"51","2016-04-27 07:37:44 AM",251,26,1
"52","2016-04-27 07:37:44 AM",252,17,16
"53","2016-04-27 07:37:44 AM",253,53,1
"54","2016-04-27 07:37:44 AM",254,20,11
"55","2016-04-27 07:37:44 AM",257,31,8
"56","2016-04-27 07:37:44 AM",258,18,5
"57","2016-04-27 07:37:44 AM",259,32,7
"58","2016-04-27 07:37:44 AM",260,29,6
