"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 08:57:52 AM",72,33,6
"2","2016-04-27 08:57:52 AM",79,14,18
"3","2016-04-27 08:57:52 AM",82,23,2
"4","2016-04-27 08:57:52 AM",83,48,13
"5","2016-04-27 08:57:52 AM",116,31,7
"6","2016-04-27 08:57:52 AM",119,8,11
"7","2016-04-27 08:57:52 AM",120,18,0
"8","2016-04-27 08:57:52 AM",127,31,0
"9","2016-04-27 08:57:52 AM",128,8,22
"10","2016-04-27 08:57:52 AM",137,1,44
"11","2016-04-27 08:57:52 AM",143,13,11
"12","2016-04-27 08:57:52 AM",144,16,3
"13","2016-04-27 08:57:52 AM",146,35,3
"14","2016-04-27 08:57:52 AM",147,16,16
"15","2016-04-27 08:57:52 AM",150,27,0
"16","2016-04-27 08:57:52 AM",151,28,4
"17","2016-04-27 08:57:52 AM",152,23,6
"18","2016-04-27 08:57:52 AM",153,43,12
"19","2016-04-27 08:57:52 AM",157,23,0
"20","2016-04-27 08:57:52 AM",160,26,0
"21","2016-04-27 08:57:52 AM",161,28,7
"22","2016-04-27 08:57:52 AM",164,32,14
"23","2016-04-27 08:57:52 AM",167,40,4
"24","2016-04-27 08:57:52 AM",168,18,29
"25","2016-04-27 08:57:52 AM",173,7,42
"26","2016-04-27 08:57:52 AM",174,4,25
"27","2016-04-27 08:57:52 AM",195,31,14
"28","2016-04-27 08:57:52 AM",212,8,17
"29","2016-04-27 08:57:52 AM",216,18,5
"30","2016-04-27 08:57:52 AM",217,20,19
"31","2016-04-27 08:57:52 AM",223,22,10
"32","2016-04-27 08:57:52 AM",224,22,8
"33","2016-04-27 08:57:52 AM",225,22,15
"34","2016-04-27 08:57:52 AM",228,8,46
"35","2016-04-27 08:57:52 AM",229,10,12
"36","2016-04-27 08:57:52 AM",232,19,4
"37","2016-04-27 08:57:52 AM",233,35,3
"38","2016-04-27 08:57:52 AM",236,18,21
"39","2016-04-27 08:57:52 AM",237,33,6
"40","2016-04-27 08:57:52 AM",238,26,2
