"","time","station_id","availableDocks","availableBikes"
"1","2016-04-26 08:49:07 PM",72,30,7
"2","2016-04-26 08:49:07 PM",79,19,11
"3","2016-04-26 08:49:07 PM",82,24,1
"4","2016-04-26 08:49:07 PM",83,44,17
"5","2016-04-26 08:49:07 PM",116,30,4
"6","2016-04-26 08:49:07 PM",119,10,9
"7","2016-04-26 08:49:07 PM",120,14,4
"8","2016-04-26 08:49:07 PM",127,25,4
"9","2016-04-26 08:49:07 PM",128,29,0
"10","2016-04-26 08:49:07 PM",137,46,0
"11","2016-04-26 08:49:07 PM",143,7,17
"12","2016-04-26 08:49:07 PM",144,15,4
"13","2016-04-26 08:49:07 PM",146,38,0
"14","2016-04-26 08:49:07 PM",147,30,0
"15","2016-04-26 08:49:07 PM",150,2,23
"16","2016-04-26 08:49:07 PM",151,28,0
"17","2016-04-26 08:49:07 PM",152,28,0
"18","2016-04-26 08:49:07 PM",153,53,1
"19","2016-04-26 08:49:07 PM",157,14,8
"20","2016-04-26 08:49:07 PM",160,25,0
"21","2016-04-26 08:49:07 PM",161,7,26
"22","2016-04-26 08:49:07 PM",164,45,0
"23","2016-04-26 08:49:07 PM",167,43,1
"24","2016-04-26 08:49:07 PM",168,44,3
"25","2016-04-26 08:49:07 PM",173,50,0
"26","2016-04-26 08:49:07 PM",174,1,29
"27","2016-04-26 08:49:07 PM",195,20,22
"28","2016-04-26 08:49:07 PM",212,27,0
"29","2016-04-26 08:49:07 PM",216,22,1
"30","2016-04-26 08:49:07 PM",217,20,18
"31","2016-04-26 08:49:07 PM",223,13,20
"32","2016-04-26 08:49:07 PM",224,30,0
"33","2016-04-26 08:49:07 PM",225,34,3
"34","2016-04-26 08:49:07 PM",228,45,4
"35","2016-04-26 08:49:07 PM",229,20,2
"36","2016-04-26 08:49:07 PM",232,23,0
"37","2016-04-26 08:49:07 PM",233,37,0
"38","2016-04-26 08:49:07 PM",236,5,33
"39","2016-04-26 08:49:07 PM",237,5,34
"40","2016-04-26 08:49:07 PM",238,1,27
"41","2016-04-26 08:49:07 PM",239,29,0
"42","2016-04-26 08:49:07 PM",241,14,8
"43","2016-04-26 08:49:07 PM",242,8,13
"44","2016-04-26 08:49:07 PM",243,22,8
"45","2016-04-26 08:49:07 PM",244,19,10
"46","2016-04-26 08:49:07 PM",245,20,3
"47","2016-04-26 08:49:07 PM",247,7,13
"48","2016-04-26 08:49:07 PM",248,23,0
"49","2016-04-26 08:49:07 PM",249,24,1
"50","2016-04-26 08:49:07 PM",250,35,3
"51","2016-04-26 08:49:07 PM",251,27,0
"52","2016-04-26 08:49:07 PM",252,15,18
"53","2016-04-26 08:49:07 PM",253,43,10
"54","2016-04-26 08:49:07 PM",254,14,17
"55","2016-04-26 08:49:07 PM",257,36,2
"56","2016-04-26 08:49:07 PM",258,18,5
"57","2016-04-26 08:49:07 PM",259,11,25
"58","2016-04-26 08:49:07 PM",260,34,1
"59","2016-04-26 08:49:07 PM",261,22,5
"60","2016-04-26 08:49:07 PM",262,22,2
"61","2016-04-26 08:49:07 PM",263,29,1
"62","2016-04-26 08:49:07 PM",264,18,6
"63","2016-04-26 08:49:07 PM",265,20,13
"64","2016-04-26 08:49:07 PM",266,6,18
"65","2016-04-26 08:49:07 PM",267,53,2
"66","2016-04-26 08:49:07 PM",268,0,0
"67","2016-04-26 08:49:07 PM",270,1,22
"68","2016-04-26 08:49:07 PM",274,13,17
"69","2016-04-26 08:49:07 PM",275,11,8
"70","2016-04-26 08:49:07 PM",276,25,0
"71","2016-04-26 08:49:07 PM",278,5,13
"72","2016-04-26 08:49:07 PM",279,31,5
"73","2016-04-26 08:49:07 PM",280,20,10
"74","2016-04-26 08:49:07 PM",281,48,6
"75","2016-04-26 08:49:07 PM",282,14,11
"76","2016-04-26 08:49:07 PM",284,12,27
"77","2016-04-26 08:49:07 PM",285,35,10
"78","2016-04-26 08:49:07 PM",289,12,7
"79","2016-04-26 08:49:07 PM",291,2,15
"80","2016-04-26 08:49:07 PM",293,26,24
"81","2016-04-26 08:49:07 PM",295,17,4
"82","2016-04-26 08:49:07 PM",296,31,0
"83","2016-04-26 08:49:07 PM",297,23,2
"84","2016-04-26 08:49:07 PM",298,15,20
"85","2016-04-26 08:49:07 PM",300,37,16
"86","2016-04-26 08:49:07 PM",301,1,36
"87","2016-04-26 08:49:07 PM",302,2,20
"88","2016-04-26 08:49:07 PM",303,9,21
"89","2016-04-26 08:49:07 PM",304,5,31
"90","2016-04-26 08:49:07 PM",305,27,5
"91","2016-04-26 08:49:07 PM",306,15,9
"92","2016-04-26 08:49:07 PM",307,9,19
"93","2016-04-26 08:49:07 PM",308,9,15
"94","2016-04-26 08:49:07 PM",309,40,0
"95","2016-04-26 08:49:07 PM",310,13,23
