"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 09:23:01 AM",72,34,5
"2","2016-04-27 09:23:01 AM",79,9,23
"3","2016-04-27 09:23:01 AM",82,23,2
"4","2016-04-27 09:23:01 AM",83,48,13
"5","2016-04-27 09:23:01 AM",116,32,6
"6","2016-04-27 09:23:01 AM",119,9,10
"7","2016-04-27 09:23:01 AM",120,18,0
"8","2016-04-27 09:23:01 AM",127,29,2
"9","2016-04-27 09:23:01 AM",128,2,28
"10","2016-04-27 09:23:01 AM",137,3,42
"11","2016-04-27 09:23:01 AM",143,13,11
"12","2016-04-27 09:23:01 AM",144,17,2
"13","2016-04-27 09:23:01 AM",146,37,1
"14","2016-04-27 09:23:01 AM",147,13,19
"15","2016-04-27 09:23:01 AM",150,27,0
"16","2016-04-27 09:23:01 AM",151,18,14
"17","2016-04-27 09:23:01 AM",152,21,8
"18","2016-04-27 09:23:01 AM",153,37,18
"19","2016-04-27 09:23:01 AM",157,23,0
"20","2016-04-27 09:23:01 AM",160,26,0
"21","2016-04-27 09:23:01 AM",161,25,10
"22","2016-04-27 09:23:01 AM",164,27,19
"23","2016-04-27 09:23:01 AM",167,40,4
"24","2016-04-27 09:23:01 AM",168,5,41
"25","2016-04-27 09:23:01 AM",173,1,48
"26","2016-04-27 09:23:01 AM",174,8,21
"27","2016-04-27 09:23:01 AM",195,38,7
"28","2016-04-27 09:23:01 AM",212,3,21
"29","2016-04-27 09:23:01 AM",216,19,4
"30","2016-04-27 09:23:01 AM",217,22,17
"31","2016-04-27 09:23:01 AM",223,24,8
"32","2016-04-27 09:23:01 AM",224,22,8
"33","2016-04-27 09:23:01 AM",225,14,23
"34","2016-04-27 09:23:01 AM",228,1,53
"35","2016-04-27 09:23:01 AM",229,2,20
"36","2016-04-27 09:23:01 AM",232,18,5
"37","2016-04-27 09:23:01 AM",233,34,4
"38","2016-04-27 09:23:01 AM",236,28,11
"39","2016-04-27 09:23:01 AM",237,38,1
"40","2016-04-27 09:23:01 AM",238,28,0
"41","2016-04-27 09:23:01 AM",239,1,28
"42","2016-04-27 09:23:01 AM",241,21,2
"43","2016-04-27 09:23:01 AM",242,9,12
"44","2016-04-27 09:23:01 AM",243,6,23
"45","2016-04-27 09:23:01 AM",244,24,5
"46","2016-04-27 09:23:01 AM",245,20,3
"47","2016-04-27 09:23:01 AM",247,20,0
"48","2016-04-27 09:23:01 AM",248,16,6
"49","2016-04-27 09:23:01 AM",249,10,16
"50","2016-04-27 09:23:01 AM",250,25,15
"51","2016-04-27 09:23:01 AM",251,24,3
"52","2016-04-27 09:23:01 AM",252,26,7
"53","2016-04-27 09:23:01 AM",253,46,8
"54","2016-04-27 09:23:01 AM",254,31,0
"55","2016-04-27 09:23:01 AM",257,8,31
"56","2016-04-27 09:23:01 AM",258,23,0
"57","2016-04-27 09:23:01 AM",259,0,39
"58","2016-04-27 09:23:01 AM",260,5,30
"59","2016-04-27 09:23:01 AM",261,26,1
"60","2016-04-27 09:23:01 AM",262,24,0
"61","2016-04-27 09:23:01 AM",263,28,3
"62","2016-04-27 09:23:01 AM",264,0,23
"63","2016-04-27 09:23:01 AM",265,23,10
"64","2016-04-27 09:23:01 AM",266,21,3
"65","2016-04-27 09:23:01 AM",267,51,6
"66","2016-04-27 09:23:01 AM",268,0,0
"67","2016-04-27 09:23:01 AM",270,23,0
"68","2016-04-27 09:23:01 AM",274,23,8
"69","2016-04-27 09:23:01 AM",275,17,2
"70","2016-04-27 09:23:01 AM",276,23,2
"71","2016-04-27 09:23:01 AM",278,11,8
"72","2016-04-27 09:23:01 AM",279,23,13
"73","2016-04-27 09:23:01 AM",280,22,9
"74","2016-04-27 09:23:01 AM",281,7,46
"75","2016-04-27 09:23:01 AM",282,22,5
"76","2016-04-27 09:23:01 AM",284,15,27
"77","2016-04-27 09:23:01 AM",285,5,41
"78","2016-04-27 09:23:01 AM",289,17,2
"79","2016-04-27 09:23:01 AM",291,17,0
"80","2016-04-27 09:23:01 AM",293,1,52
"81","2016-04-27 09:23:01 AM",295,18,3
"82","2016-04-27 09:23:01 AM",296,13,20
"83","2016-04-27 09:23:01 AM",297,21,6
"84","2016-04-27 09:23:01 AM",298,16,19
"85","2016-04-27 09:23:01 AM",300,34,21
"86","2016-04-27 09:23:01 AM",301,37,0
"87","2016-04-27 09:23:01 AM",302,18,3
"88","2016-04-27 09:23:01 AM",303,29,2
"89","2016-04-27 09:23:01 AM",304,24,12
"90","2016-04-27 09:23:01 AM",305,24,9
"91","2016-04-27 09:23:01 AM",306,17,7
"92","2016-04-27 09:23:01 AM",307,27,1
"93","2016-04-27 09:23:01 AM",308,25,0
"94","2016-04-27 09:23:01 AM",309,39,1
"95","2016-04-27 09:23:01 AM",310,26,9
"96","2016-04-27 09:23:01 AM",311,23,8
"97","2016-04-27 09:23:01 AM",312,0,0
"98","2016-04-27 09:23:01 AM",313,15,7
"99","2016-04-27 09:23:01 AM",315,13,15
"100","2016-04-27 09:23:01 AM",316,27,11
"101","2016-04-27 09:23:01 AM",317,27,0
"102","2016-04-27 09:23:01 AM",319,15,13
"103","2016-04-27 09:23:01 AM",320,32,7
"104","2016-04-27 09:23:01 AM",321,23,4
"105","2016-04-27 09:23:01 AM",322,31,0
"106","2016-04-27 09:23:01 AM",323,0,39
"107","2016-04-27 09:23:01 AM",324,1,49
"108","2016-04-27 09:23:01 AM",325,28,7
"109","2016-04-27 09:23:01 AM",326,27,0
"110","2016-04-27 09:23:01 AM",327,16,22
"111","2016-04-27 09:23:01 AM",328,11,12
"112","2016-04-27 09:23:01 AM",329,8,23
"113","2016-04-27 09:23:01 AM",330,30,9
"114","2016-04-27 09:23:01 AM",331,12,14
"115","2016-04-27 09:23:01 AM",332,24,0
"116","2016-04-27 09:23:01 AM",334,25,6
"117","2016-04-27 09:23:01 AM",335,12,11
"118","2016-04-27 09:23:01 AM",336,18,16
"119","2016-04-27 09:23:01 AM",337,8,29
"120","2016-04-27 09:23:01 AM",339,16,8
"121","2016-04-27 09:23:01 AM",340,13,11
"122","2016-04-27 09:23:01 AM",341,4,14
"123","2016-04-27 09:23:01 AM",342,15,11
"124","2016-04-27 09:23:01 AM",343,22,1
"125","2016-04-27 09:23:01 AM",344,23,0
"126","2016-04-27 09:23:01 AM",345,34,1
"127","2016-04-27 09:23:01 AM",346,26,1
"128","2016-04-27 09:23:01 AM",347,13,22
"129","2016-04-27 09:23:01 AM",348,16,26
"130","2016-04-27 09:23:01 AM",349,11,11
"131","2016-04-27 09:23:01 AM",350,28,0
"132","2016-04-27 09:23:01 AM",351,0,34
"133","2016-04-27 09:23:01 AM",352,2,32
"134","2016-04-27 09:23:01 AM",353,24,3
"135","2016-04-27 09:23:01 AM",354,13,10
"136","2016-04-27 09:23:01 AM",355,31,12
"137","2016-04-27 09:23:01 AM",356,20,3
"138","2016-04-27 09:23:01 AM",357,17,10
"139","2016-04-27 09:23:01 AM",358,36,0
"140","2016-04-27 09:23:01 AM",359,24,28
"141","2016-04-27 09:23:01 AM",360,14,22
"142","2016-04-27 09:23:01 AM",361,42,0
"143","2016-04-27 09:23:01 AM",362,49,6
"144","2016-04-27 09:23:01 AM",363,24,24
"145","2016-04-27 09:23:01 AM",364,27,0
"146","2016-04-27 09:23:01 AM",365,25,6
"147","2016-04-27 09:23:01 AM",366,33,0
"148","2016-04-27 09:23:01 AM",367,27,7
"149","2016-04-27 09:23:01 AM",368,34,4
"150","2016-04-27 09:23:01 AM",369,35,0
"151","2016-04-27 09:23:01 AM",372,13,14
"152","2016-04-27 09:23:01 AM",373,10,8
"153","2016-04-27 09:23:01 AM",376,31,8
"154","2016-04-27 09:23:01 AM",377,19,27
"155","2016-04-27 09:23:01 AM",379,41,1
"156","2016-04-27 09:23:01 AM",380,34,5
"157","2016-04-27 09:23:01 AM",382,16,20
"158","2016-04-27 09:23:01 AM",383,39,0
"159","2016-04-27 09:23:01 AM",384,30,0
"160","2016-04-27 09:23:01 AM",385,26,2
"161","2016-04-27 09:23:01 AM",386,18,23
"162","2016-04-27 09:23:01 AM",387,32,7
"163","2016-04-27 09:23:01 AM",388,20,15
"164","2016-04-27 09:23:01 AM",389,26,1
"165","2016-04-27 09:23:01 AM",390,11,20
"166","2016-04-27 09:23:01 AM",391,31,0
"167","2016-04-27 09:23:01 AM",392,0,32
"168","2016-04-27 09:23:01 AM",393,26,5
"169","2016-04-27 09:23:01 AM",394,28,3
"170","2016-04-27 09:23:01 AM",395,30,0
"171","2016-04-27 09:23:01 AM",396,14,11
"172","2016-04-27 09:23:01 AM",397,25,2
"173","2016-04-27 09:23:01 AM",398,19,12
"174","2016-04-27 09:23:01 AM",399,19,7
"175","2016-04-27 09:23:01 AM",400,9,6
"176","2016-04-27 09:23:01 AM",401,0,0
"177","2016-04-27 09:23:01 AM",402,32,10
"178","2016-04-27 09:23:01 AM",403,19,0
"179","2016-04-27 09:23:01 AM",405,32,7
"180","2016-04-27 09:23:01 AM",406,31,2
"181","2016-04-27 09:23:01 AM",407,35,2
"182","2016-04-27 09:23:01 AM",408,18,3
"183","2016-04-27 09:23:01 AM",409,15,4
"184","2016-04-27 09:23:01 AM",410,35,0
"185","2016-04-27 09:23:01 AM",411,7,14
"186","2016-04-27 09:23:01 AM",412,27,2
"187","2016-04-27 09:23:01 AM",414,12,12
"188","2016-04-27 09:23:01 AM",415,27,11
"189","2016-04-27 09:23:01 AM",416,27,4
"190","2016-04-27 09:23:01 AM",417,4,18
"191","2016-04-27 09:23:01 AM",418,20,3
"192","2016-04-27 09:23:01 AM",419,17,6
"193","2016-04-27 09:23:01 AM",420,21,0
"194","2016-04-27 09:23:01 AM",421,17,2
"195","2016-04-27 09:23:01 AM",422,54,1
"196","2016-04-27 09:23:01 AM",423,36,2
"197","2016-04-27 09:23:01 AM",426,7,23
"198","2016-04-27 09:23:01 AM",427,32,15
"199","2016-04-27 09:23:01 AM",428,31,0
"200","2016-04-27 09:23:01 AM",430,8,19
"201","2016-04-27 09:23:01 AM",432,31,0
"202","2016-04-27 09:23:01 AM",433,38,0
"203","2016-04-27 09:23:01 AM",434,16,11
"204","2016-04-27 09:23:01 AM",435,7,40
"205","2016-04-27 09:23:01 AM",436,24,3
"206","2016-04-27 09:23:01 AM",437,11,13
"207","2016-04-27 09:23:01 AM",438,27,0
"208","2016-04-27 09:23:01 AM",439,37,0
"209","2016-04-27 09:23:01 AM",440,2,30
"210","2016-04-27 09:23:01 AM",441,35,0
"211","2016-04-27 09:23:01 AM",442,39,11
"212","2016-04-27 09:23:01 AM",443,22,1
"213","2016-04-27 09:23:01 AM",444,3,49
"214","2016-04-27 09:23:01 AM",445,42,0
"215","2016-04-27 09:23:01 AM",446,34,5
"216","2016-04-27 09:23:01 AM",447,28,3
"217","2016-04-27 09:23:01 AM",448,27,1
"218","2016-04-27 09:23:01 AM",449,30,0
