"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 07:42:43 AM",72,26,13
"2","2016-04-27 07:42:43 AM",79,25,7
"3","2016-04-27 07:42:43 AM",82,20,5
"4","2016-04-27 07:42:43 AM",83,50,11
"5","2016-04-27 07:42:43 AM",116,36,2
"6","2016-04-27 07:42:43 AM",119,7,12
"7","2016-04-27 07:42:43 AM",120,15,3
"8","2016-04-27 07:42:43 AM",127,31,0
"9","2016-04-27 07:42:43 AM",128,24,6
"10","2016-04-27 07:42:43 AM",137,37,9
"11","2016-04-27 07:42:43 AM",143,6,18
"12","2016-04-27 07:42:43 AM",144,15,4
"13","2016-04-27 07:42:43 AM",146,38,0
"14","2016-04-27 07:42:43 AM",147,28,4
"15","2016-04-27 07:42:43 AM",150,11,17
"16","2016-04-27 07:42:43 AM",151,26,6
"17","2016-04-27 07:42:43 AM",152,27,2
"18","2016-04-27 07:42:43 AM",153,47,8
"19","2016-04-27 07:42:43 AM",157,14,9
"20","2016-04-27 07:42:43 AM",160,26,0
"21","2016-04-27 07:42:43 AM",161,31,4
"22","2016-04-27 07:42:43 AM",164,38,7
"23","2016-04-27 07:42:43 AM",167,38,6
"24","2016-04-27 07:42:43 AM",168,41,6
"25","2016-04-27 07:42:43 AM",173,27,22
"26","2016-04-27 07:42:43 AM",174,1,29
"27","2016-04-27 07:42:43 AM",195,35,10
"28","2016-04-27 07:42:43 AM",212,13,12
"29","2016-04-27 07:42:43 AM",216,19,4
"30","2016-04-27 07:42:43 AM",217,19,20
"31","2016-04-27 07:42:43 AM",223,13,19
"32","2016-04-27 07:42:43 AM",224,26,4
"33","2016-04-27 07:42:43 AM",225,31,6
"34","2016-04-27 07:42:43 AM",228,35,20
"35","2016-04-27 07:42:43 AM",229,16,6
"36","2016-04-27 07:42:43 AM",232,21,2
"37","2016-04-27 07:42:43 AM",233,35,3
"38","2016-04-27 07:42:43 AM",236,8,31
"39","2016-04-27 07:42:43 AM",237,9,30
"40","2016-04-27 07:42:43 AM",238,18,10
"41","2016-04-27 07:42:43 AM",239,22,8
"42","2016-04-27 07:42:43 AM",241,15,8
"43","2016-04-27 07:42:43 AM",242,8,13
"44","2016-04-27 07:42:43 AM",243,25,5
"45","2016-04-27 07:42:43 AM",244,15,14
"46","2016-04-27 07:42:43 AM",245,15,8
"47","2016-04-27 07:42:43 AM",247,10,10
"48","2016-04-27 07:42:43 AM",248,19,4
"49","2016-04-27 07:42:43 AM",249,22,4
"50","2016-04-27 07:42:43 AM",250,30,10
"51","2016-04-27 07:42:43 AM",251,26,1
"52","2016-04-27 07:42:43 AM",252,19,14
"53","2016-04-27 07:42:43 AM",253,52,2
"54","2016-04-27 07:42:43 AM",254,21,10
"55","2016-04-27 07:42:43 AM",257,30,9
"56","2016-04-27 07:42:43 AM",258,20,3
"57","2016-04-27 07:42:43 AM",259,31,8
"58","2016-04-27 07:42:43 AM",260,29,6
"59","2016-04-27 07:42:43 AM",261,21,6
"60","2016-04-27 07:42:43 AM",262,23,1
"61","2016-04-27 07:42:43 AM",263,29,2
"62","2016-04-27 07:42:43 AM",264,11,13
"63","2016-04-27 07:42:43 AM",265,16,17
"64","2016-04-27 07:42:43 AM",266,2,22
"65","2016-04-27 07:42:43 AM",267,56,1
"66","2016-04-27 07:42:43 AM",268,0,0
"67","2016-04-27 07:42:43 AM",270,3,20
"68","2016-04-27 07:42:43 AM",274,16,15
"69","2016-04-27 07:42:43 AM",275,12,7
"70","2016-04-27 07:42:43 AM",276,23,2
"71","2016-04-27 07:42:43 AM",278,6,13
"72","2016-04-27 07:42:43 AM",279,27,9
"73","2016-04-27 07:42:43 AM",280,27,4
"74","2016-04-27 07:42:43 AM",281,42,12
"75","2016-04-27 07:42:43 AM",282,17,10
"76","2016-04-27 07:42:43 AM",284,13,29
"77","2016-04-27 07:42:43 AM",285,24,22
"78","2016-04-27 07:42:43 AM",289,13,6
"79","2016-04-27 07:42:43 AM",291,6,11
"80","2016-04-27 07:42:43 AM",293,41,14
"81","2016-04-27 07:42:43 AM",295,13,8
"82","2016-04-27 07:42:43 AM",296,32,0
"83","2016-04-27 07:42:43 AM",297,24,3
"84","2016-04-27 07:42:43 AM",298,16,19
"85","2016-04-27 07:42:43 AM",300,38,17
"86","2016-04-27 07:42:43 AM",301,11,26
"87","2016-04-27 07:42:43 AM",302,5,17
"88","2016-04-27 07:42:43 AM",303,22,9
"89","2016-04-27 07:42:43 AM",304,30,6
"90","2016-04-27 07:42:43 AM",305,2,31
"91","2016-04-27 07:42:43 AM",306,15,9
"92","2016-04-27 07:42:43 AM",307,20,8
"93","2016-04-27 07:42:43 AM",308,14,10
"94","2016-04-27 07:42:43 AM",309,18,22
"95","2016-04-27 07:42:43 AM",310,16,19
"96","2016-04-27 07:42:43 AM",311,23,8
"97","2016-04-27 07:42:43 AM",312,0,0
"98","2016-04-27 07:42:43 AM",313,9,13
"99","2016-04-27 07:42:43 AM",315,22,6
"100","2016-04-27 07:42:43 AM",316,36,2
"101","2016-04-27 07:42:43 AM",317,14,13
"102","2016-04-27 07:42:43 AM",319,26,2
"103","2016-04-27 07:42:43 AM",320,34,5
"104","2016-04-27 07:42:43 AM",321,23,4
"105","2016-04-27 07:42:43 AM",322,30,1
"106","2016-04-27 07:42:43 AM",323,12,27
"107","2016-04-27 07:42:43 AM",324,12,39
"108","2016-04-27 07:42:43 AM",325,15,20
"109","2016-04-27 07:42:43 AM",326,14,13
"110","2016-04-27 07:42:43 AM",327,37,1
"111","2016-04-27 07:42:43 AM",328,17,6
"112","2016-04-27 07:42:43 AM",329,1,30
"113","2016-04-27 07:42:43 AM",330,32,7
"114","2016-04-27 07:42:43 AM",331,7,19
"115","2016-04-27 07:42:43 AM",332,11,13
"116","2016-04-27 07:42:43 AM",334,31,0
"117","2016-04-27 07:42:43 AM",335,17,6
"118","2016-04-27 07:42:43 AM",336,24,11
"119","2016-04-27 07:42:43 AM",337,30,7
"120","2016-04-27 07:42:43 AM",339,8,16
"121","2016-04-27 07:42:43 AM",340,7,17
"122","2016-04-27 07:42:43 AM",341,2,16
"123","2016-04-27 07:42:43 AM",342,8,19
"124","2016-04-27 07:42:43 AM",343,22,1
"125","2016-04-27 07:42:43 AM",344,20,3
"126","2016-04-27 07:42:43 AM",345,31,4
"127","2016-04-27 07:42:43 AM",346,10,17
"128","2016-04-27 07:42:43 AM",347,30,5
"129","2016-04-27 07:42:43 AM",348,30,12
"130","2016-04-27 07:42:43 AM",349,3,19
"131","2016-04-27 07:42:43 AM",350,13,15
"132","2016-04-27 07:42:43 AM",351,24,11
"133","2016-04-27 07:42:43 AM",352,8,26
"134","2016-04-27 07:42:43 AM",353,22,5
"135","2016-04-27 07:42:43 AM",354,10,13
"136","2016-04-27 07:42:43 AM",355,36,7
"137","2016-04-27 07:42:43 AM",356,0,23
"138","2016-04-27 07:42:43 AM",357,23,4
"139","2016-04-27 07:42:43 AM",358,24,12
"140","2016-04-27 07:42:43 AM",359,43,10
"141","2016-04-27 07:42:43 AM",360,28,8
"142","2016-04-27 07:42:43 AM",361,32,10
"143","2016-04-27 07:42:43 AM",362,43,11
"144","2016-04-27 07:42:43 AM",363,15,33
"145","2016-04-27 07:42:43 AM",364,18,9
