"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 08:07:38 AM",72,27,12
"2","2016-04-27 08:07:38 AM",79,19,13
"3","2016-04-27 08:07:38 AM",82,21,4
"4","2016-04-27 08:07:38 AM",83,48,13
"5","2016-04-27 08:07:38 AM",116,33,5
"6","2016-04-27 08:07:38 AM",119,8,11
"7","2016-04-27 08:07:38 AM",120,16,2
"8","2016-04-27 08:07:38 AM",127,31,0
"9","2016-04-27 08:07:38 AM",128,22,8
"10","2016-04-27 08:07:38 AM",137,25,21
"11","2016-04-27 08:07:38 AM",143,7,17
"12","2016-04-27 08:07:38 AM",144,16,3
"13","2016-04-27 08:07:38 AM",146,38,0
"14","2016-04-27 08:07:38 AM",147,25,7
"15","2016-04-27 08:07:38 AM",150,17,11
"16","2016-04-27 08:07:38 AM",151,28,4
"17","2016-04-27 08:07:38 AM",152,26,3
"18","2016-04-27 08:07:38 AM",153,44,11
"19","2016-04-27 08:07:38 AM",157,17,6
"20","2016-04-27 08:07:38 AM",160,26,0
"21","2016-04-27 08:07:38 AM",161,33,2
"22","2016-04-27 08:07:38 AM",164,37,8
"23","2016-04-27 08:07:38 AM",167,35,9
"24","2016-04-27 08:07:38 AM",168,36,11
"25","2016-04-27 08:07:38 AM",173,22,27
"26","2016-04-27 08:07:38 AM",174,1,29
"27","2016-04-27 08:07:38 AM",195,32,13
"28","2016-04-27 08:07:38 AM",212,11,14
"29","2016-04-27 08:07:38 AM",216,18,5
"30","2016-04-27 08:07:38 AM",217,20,19
"31","2016-04-27 08:07:38 AM",223,15,17
"32","2016-04-27 08:07:38 AM",224,22,8
"33","2016-04-27 08:07:38 AM",225,28,9
"34","2016-04-27 08:07:38 AM",228,26,29
"35","2016-04-27 08:07:38 AM",229,10,12
"36","2016-04-27 08:07:38 AM",232,20,3
"37","2016-04-27 08:07:38 AM",233,36,2
"38","2016-04-27 08:07:38 AM",236,10,29
"39","2016-04-27 08:07:38 AM",237,19,20
"40","2016-04-27 08:07:38 AM",238,18,10
"41","2016-04-27 08:07:38 AM",239,17,13
"42","2016-04-27 08:07:38 AM",241,16,7
"43","2016-04-27 08:07:38 AM",242,9,12
"44","2016-04-27 08:07:38 AM",243,23,6
"45","2016-04-27 08:07:38 AM",244,15,14
"46","2016-04-27 08:07:38 AM",245,16,7
"47","2016-04-27 08:07:38 AM",247,18,2
"48","2016-04-27 08:07:38 AM",248,17,6
"49","2016-04-27 08:07:38 AM",249,22,4
"50","2016-04-27 08:07:38 AM",250,30,10
"51","2016-04-27 08:07:38 AM",251,27,0
"52","2016-04-27 08:07:38 AM",252,25,8
"53","2016-04-27 08:07:38 AM",253,48,6
"54","2016-04-27 08:07:38 AM",254,20,11
"55","2016-04-27 08:07:38 AM",257,29,10
"56","2016-04-27 08:07:38 AM",258,22,1
"57","2016-04-27 08:07:38 AM",259,25,14
"58","2016-04-27 08:07:38 AM",260,27,8
"59","2016-04-27 08:07:38 AM",261,23,4
"60","2016-04-27 08:07:38 AM",262,23,1
"61","2016-04-27 08:07:38 AM",263,30,1
"62","2016-04-27 08:07:38 AM",264,12,12
"63","2016-04-27 08:07:38 AM",265,19,14
"64","2016-04-27 08:07:38 AM",266,5,19
"65","2016-04-27 08:07:38 AM",267,57,0
"66","2016-04-27 08:07:38 AM",268,0,0
"67","2016-04-27 08:07:38 AM",270,7,16
"68","2016-04-27 08:07:38 AM",274,16,15
"69","2016-04-27 08:07:38 AM",275,12,7
"70","2016-04-27 08:07:38 AM",276,23,2
"71","2016-04-27 08:07:38 AM",278,5,14
"72","2016-04-27 08:07:38 AM",279,26,10
"73","2016-04-27 08:07:38 AM",280,25,6
"74","2016-04-27 08:07:38 AM",281,35,19
"75","2016-04-27 08:07:38 AM",282,17,10
"76","2016-04-27 08:07:38 AM",284,10,32
"77","2016-04-27 08:07:38 AM",285,18,28
"78","2016-04-27 08:07:38 AM",289,13,6
"79","2016-04-27 08:07:38 AM",291,9,8
"80","2016-04-27 08:07:38 AM",293,34,19
"81","2016-04-27 08:07:38 AM",295,13,8
"82","2016-04-27 08:07:38 AM",296,32,0
"83","2016-04-27 08:07:38 AM",297,17,10
"84","2016-04-27 08:07:38 AM",298,16,19
"85","2016-04-27 08:07:38 AM",300,40,15
"86","2016-04-27 08:07:38 AM",301,16,21
"87","2016-04-27 08:07:38 AM",302,9,14
"88","2016-04-27 08:07:38 AM",303,21,10
"89","2016-04-27 08:07:38 AM",304,29,7
"90","2016-04-27 08:07:38 AM",305,20,13
"91","2016-04-27 08:07:38 AM",306,13,11
"92","2016-04-27 08:07:38 AM",307,22,6
"93","2016-04-27 08:07:38 AM",308,18,7
