"","time","station_id","availableDocks","availableBikes"
"1","2016-04-27 07:32:45 AM",72,26,13
"2","2016-04-27 07:32:45 AM",79,26,6
"3","2016-04-27 07:32:45 AM",82,20,5
"4","2016-04-27 07:32:45 AM",83,50,11
"5","2016-04-27 07:32:45 AM",116,33,5
"6","2016-04-27 07:32:45 AM",119,7,12
"7","2016-04-27 07:32:45 AM",120,13,5
"8","2016-04-27 07:32:45 AM",127,31,0
"9","2016-04-27 07:32:45 AM",128,26,4
"10","2016-04-27 07:32:45 AM",137,37,9
"11","2016-04-27 07:32:45 AM",143,5,19
"12","2016-04-27 07:32:45 AM",144,15,4
"13","2016-04-27 07:32:45 AM",146,36,2
"14","2016-04-27 07:32:45 AM",147,29,3
"15","2016-04-27 07:32:45 AM",150,8,20
"16","2016-04-27 07:32:45 AM",151,25,7
"17","2016-04-27 07:32:45 AM",152,27,2
"18","2016-04-27 07:32:45 AM",153,49,6
"19","2016-04-27 07:32:45 AM",157,14,9
"20","2016-04-27 07:32:45 AM",160,26,0
"21","2016-04-27 07:32:45 AM",161,29,6
"22","2016-04-27 07:32:45 AM",164,38,7
"23","2016-04-27 07:32:45 AM",167,41,3
"24","2016-04-27 07:32:45 AM",168,42,5
"25","2016-04-27 07:32:45 AM",173,32,17
"26","2016-04-27 07:32:45 AM",174,2,28
"27","2016-04-27 07:32:45 AM",195,34,11
"28","2016-04-27 07:32:45 AM",212,16,9
"29","2016-04-27 07:32:45 AM",216,19,4
"30","2016-04-27 07:32:45 AM",217,19,20
"31","2016-04-27 07:32:45 AM",223,12,20
"32","2016-04-27 07:32:45 AM",224,27,3
"33","2016-04-27 07:32:45 AM",225,31,6
"34","2016-04-27 07:32:45 AM",228,38,17
"35","2016-04-27 07:32:45 AM",229,17,5
"36","2016-04-27 07:32:45 AM",232,21,2
"37","2016-04-27 07:32:45 AM",233,35,3
"38","2016-04-27 07:32:45 AM",236,6,33
"39","2016-04-27 07:32:45 AM",237,8,31
"40","2016-04-27 07:32:45 AM",238,16,12
