2014-01-11,7695
2014-01-24,6176
2014-02-06,7196
2014-02-19,8506
2014-03-04,10398
2014-03-17,12503
2014-03-30,7907
2014-04-12,27108
2014-04-25,27919
2014-05-08,17619
2014-05-21,34420
2014-06-03,29501
2014-06-16,34932
2014-06-29,27986
2014-07-12,28718
2014-07-25,36384
2014-08-07,36362
2014-08-20,35532
2014-09-02,30507
2014-09-15,35045
2014-09-28,29021
2014-10-11,12965
2014-10-24,29837
2014-11-06,12283
2014-11-19,16694
2014-12-02,15367
2014-12-15,19382
2014-12-28,7902
2015-01-10,6109
2015-01-23,15737
2015-02-05,9208
2015-02-18,9170
2015-03-03,6533
2015-03-16,16787
2015-03-29,9826
2015-04-11,18643
2015-04-24,20981
2015-05-07,34871
2015-05-20,33823
2015-06-02,11984
2015-06-15,25087
2015-06-28,20591
2015-07-11,31719
2015-07-24,40330
2015-08-06,42283
2015-08-19,40726
2015-09-01,43291
2015-09-14,44668
2015-09-27,38285
2015-10-10,39345
2015-10-23,44679
2015-11-05,43006
2015-11-18,41485
2015-12-01,18399
2015-12-14,32518
2015-12-27,13177
2014-01-12,12515
2014-01-25,4338
2014-02-07,8495
2014-02-20,11792
2014-03-05,13801
2014-03-18,16679
2014-03-31,17085
2014-04-13,26871
2014-04-26,19899
2014-05-09,22641
2014-05-22,24535
2014-06-04,36068
2014-06-17,35097
2014-06-30,33597
2014-07-13,24869
2014-07-26,27179
2014-08-08,34073
2014-08-21,33804
2014-09-03,35535
2014-09-16,25633
2014-09-29,33161
2014-10-12,23394
2014-10-25,24952
2014-11-07,25355
2014-11-20,20611
2014-12-03,13472
2014-12-16,16816
2014-12-29,13549
2015-01-11,7467
2015-01-24,4814
2015-02-06,8575
2015-02-19,7799
2015-03-04,7514
2015-03-17,14857
2015-03-30,18075
2015-04-12,19954
2015-04-25,21082
2015-05-08,34304
2015-05-21,31214
2015-06-03,34590
2015-06-16,32147
2015-06-29,38037
2015-07-12,31037
2015-07-25,31639
2015-08-07,40999
2015-08-20,39280
2015-09-02,43225
2015-09-15,48729
2015-09-28,48011
2015-10-11,38967
2015-10-24,31713
2015-11-06,47162
2015-11-19,21890
2015-12-02,23782
2015-12-15,38661
2015-12-28,18889
2014-01-13,20633
2014-01-26,4980
2014-02-08,5986
2014-02-21,8680
2014-03-06,12773
2014-03-19,13341
2014-04-01,23908
2014-04-14,28832
2014-04-27,21926
2014-05-10,21832
2014-05-23,24484
2014-06-05,24619
2014-06-18,35531
2014-07-01,34854
2014-07-14,25825
2014-07-27,27004
2014-08-09,31636
2014-08-22,30406
2014-09-04,36496
2014-09-17,37453
2014-09-30,35093
2014-10-13,22752
2014-10-26,20768
2014-11-08,17443
2014-11-21,17806
2014-12-04,21335
2014-12-17,20346
2014-12-30,12196
2015-01-12,8645
2015-01-25,9379
2015-02-07,6790
2015-02-20,6159
2015-03-05,1637
2015-03-18,13842
2015-03-31,14250
2015-04-13,24925
