NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
2,0.52,9.8,4.8,27.5,0,0
4,0,0,0,66,0,0
3,0,0,0,78,0,1
3,0,0,0,75,0,1
2,0,0,0,58.5,0,1
2,0,0,0,55.5,0,1
1,0.03,0,0,77.5,0,0
2,0,0,0,86.5,0,1
2,0.04,0,0,75,0,1
1,0.2,0,0,42,0,1
1,0,0,0,24.5,0,0
3,0.06,7.1,1,28.5,0,1
2,0.03,5.9,0.2,25.5,0,1
3,0,1,0,23,0,1
3,0,0,0,61.5,0,0
1,0.36,0,0,37,0,1
2,0.02,11,0.5,11,0,1
3,0.05,0,0,40,0,1
3,0,0,0,71,0,1
2,0,0,0,50.5,1,1
2,1.81,0,0,51,0,0
3,0.36,0,0,77,0,0
3,0.02,7.9,0.9,24,0,0
3,0,0,0,64.5,0,1
1,0,0,0,66,0,1
3,0,0,0,76,0,1
2,0,0,0,80.5,0,0
4,0.02,0,0,78,0,0
3,0,0,0,83.5,0,1
2,0,0,0,50,0,0
1,0,0,0,75.5,0,0
2,0.19,0,0,43,0,1
1,0,0,0,70,0,1
4,0.1,0,0,48.5,0,0
4,0,0,0,77,0,1
2,0.01,0,0,56,0,1
2,0.4,0,4.5,33.5,0,1
2,0.08,0,1,36,0,1
2,0,0,0,82,0,0
4,0,0,0,46,0,0
2,0.53,0,0,75,0,1
2,0,0,0,76,0,0
1,0,0,0,55.5,0,0
1,0,0,0,75.5,0,0
3,0.01,0,0,61.5,0,1
4,0,0,0,71.5,0,0
4,0.13,18.1,1.6,32,0,0
4,0.03,0,0,40,0,1
4,0,0,0,40,0,0
4,0,0,0,74.5,0,1
4,1.22,0,0,44.5,0,0
4,0,0,0,33,0,1
4,0,5.1,0,38,0,0
4,0,3.1,0,46,0,0
4,0,0,0,38.5,1,1
4,0,9.1,0,28,0,1
4,0,0,0,77.5,0,1
4,0.1,13,1,37.5,0,0
4,0,1.2,0,19.5,0,0
4,0,0,0,74,0,1
4,0,0,0,67.5,0,1
4,0.09,0,0,79.5,0,1
4,0,0,0,72,0,0
4,0.69,0,0,73,0,1
4,1.55,0,0,58,0,1
4,0,0,0,46.5,0,1
4,0.35,0,0,44,0,1
4,0.81,1.2,0,45.5,0,0
4,0,0,0,62.5,0,0
4,1.95,0,0,81.5,0,1
4,1.3,0,0,79,0,1
4,0,0,0,39,0,1
4,0,0,0,59.5,0,1
4,0,0,0,47.5,0,0
4,0.26,0,0,54,0,1
4,0.01,5.9,0,51.5,0,1
4,0.05,0,0,58.5,0,1
4,0.43,0,0,53.5,0,1
4,0,0,0,66.5,0,1
4,0,0,0,58,0,0
